timeIn10min,rr,wr,rt,wt,ut
0,79140539,100499152,3238641912,1337690694,1248806538
1,53506586,97569860,2429896683,1254113977,1172324342
2,33460428,90317894,308886555,737795926,701873035
3,34923994,88588272,252310974,677416897,624460785
4,32231764,85605040,238276649,593478943,567462961
5,32700885,84352100,222276459,554181721,528722775
6,49265252,85746179,376529661,624141047,559171073
7,36177210,82000454,230354733,487561705,465433633
8,32292835,81682026,209684817,486105092,462446035
9,32675774,82339038,217869293,542228847,498740565
10,30818102,82139296,199281069,533195746,507458141
11,31324797,82458691,210246798,545767796,522557770
12,33110835,82971997,247468266,489307970,466018165
13,34458018,81577609,266157161,468065349,448782843
14,34897775,81682559,274372448,457015139,437668447
15,33735904,80385932,262423083,457597152,433745594
16,33655002,79890362,292392964,455344044,436793833
17,35136012,79939010,303257091,420168081,404442421
18,48113518,82422540,449753689,574147341,522861482
19,40889801,78379144,310619269,477650973,433660692
20,47578279,78121767,371689375,436139543,400949723
21,41184892,78667359,323748490,482102285,452512020
22,39020259,78484871,335251136,477492267,445946857
23,35905208,75804292,312172477,396318245,377493062
24,35256275,77836054,287977353,425184604,405426919
25,34494318,77616233,260471843,424005999,405343565
26,33101278,77791716,219635909,465368346,443128890
27,33311245,76509669,204446306,516226145,474138222
28,30933245,75413899,186585163,433616085,409959510
29,32667388,76959315,217380996,427363142,403932180
30,32330931,76904379,216457233,497618621,471400928
31,30800420,74539107,189472403,409031060,393933632
32,33269431,74141694,205258378,381119140,363709783
33,31269826,75034530,177765497,401515494,385899488
34,32491736,76286669,197979904,401186304,383270696
35,32774989,78309188,193940920,405324171,387800736
36,32817810,83247665,199585257,510147911,478943445
37,31007358,82956809,190200944,522972224,491741338
38,33242394,84278035,209530112,524906886,492142571
39,32556412,83836687,198935742,541753745,505190333
40,30829011,84794951,193684299,553451975,519449999
41,32109500,85490104,202319800,547294936,512850291
42,32936889,89766789,212027646,589527309,553997548
43,31043612,90690029,197992730,612226799,577558165
44,30670676,91555581,202012681,603182513,568192029
45,32922972,92619278,219997880,604694494,569644407
46,31723200,94613488,208700168,632969049,597609689
47,31900373,97217186,210325125,643245002,605697350
48,31205567,101883688,204258210,734568189,690471768
49,32330219,102530693,208420288,767016746,730147961
50,34883191,103165888,246497168,707829239,669869058
51,33992021,103152974,241894886,716338310,654742898
52,31702735,103471915,217442459,694011993,658329231
53,34086905,106858756,246256929,718772110,678632602
54,34991679,112198995,276535448,965860269,902031077
55,37311364,111587631,298282765,911651499,847704372
56,34928959,112308313,277657432,849492189,798515408
57,32847370,112205607,239852090,851827360,800818906
58,31297112,114651146,228587372,887378772,806951400
59,32709029,116662587,249897484,929076628,866780687
60,37163648,119203541,318433366,967059521,899971295
61,36012027,119553403,274614470,944667266,894709680
62,35851807,121062284,280703850,982722367,926869114
63,38026301,121227241,293881830,996770532,940606502
64,35242373,121290360,288861484,996582848,939080370
65,34504839,121157819,272665448,983955159,922424045
66,34863093,123409839,283211513,1020689517,959873941
67,35815497,123012930,294168973,1020093018,963719004
68,35207826,123316941,286997597,1019460383,965528344
69,34242953,121664150,267391854,1018643808,966668531
70,36325562,120591831,310663649,1027423484,971246604
71,35108715,119003450,304262856,1002146046,953331567
72,38198117,119120751,309378976,1039135545,972775661
73,36378266,115934997,301766296,982372197,926391533
74,38066429,114326692,328176380,950980050,898902944
75,35947632,113331008,301473133,984806777,915645814
76,34204759,112061029,285695871,960665572,911189404
77,34443115,112318425,290685523,982560148,923249634
78,35883051,112872948,293317588,963865756,913199327
79,34055619,113648460,282254337,999330955,953920229
80,35905681,113749498,298483630,982505526,935745899
81,38852928,113462274,324685271,1007756458,957551379
82,34649820,114926793,292316527,1010568374,962708003
83,35619591,116761549,294130024,1003671025,959559443
84,35922370,118854443,297560125,1014259038,971397409
85,35439770,119352760,288855315,1041495750,995366903
86,37386953,119997985,299973736,1024146355,976037423
87,36825495,119499746,294873724,1008247984,956954556
88,38879338,121202610,329519569,1024845216,971916674
89,36054652,121419678,304106899,1027158570,972228052
90,39488164,121263815,333286994,1047294975,994336585
91,35925426,121734149,299168517,1081865244,1029674265
92,36885703,122610858,295595258,1105781852,1014111249
93,37508155,122812721,310291814,1092897969,997182204
94,35310949,121578380,310201461,1080091150,1008728911
95,37213582,124025461,299650927,1117979375,1044097463
96,35414716,125256986,304358729,1118555900,1050784035
97,37254185,125748128,314566675,1156249003,1091537446
98,35142469,124284146,277936199,1096274019,1029876376
99,37902559,124702315,305856197,1146504144,1056137192
100,35046531,123508080,277553265,1118845913,1044099088
101,35403563,122498537,279539712,1105326733,1033716297
102,36860048,123132265,296915752,1101606458,1038998538
103,33939441,123064094,264891973,1118696125,1066344270
104,34809261,122844824,288463345,1128229533,1075399014
105,34783718,121156005,281482074,1081848049,1026083509
106,35257713,120418833,305349978,1089811506,1034819608
107,34271958,119811844,300425285,1071306094,1003477665
108,36753659,122891881,321338223,1099803928,1021495504
109,40112910,123555958,328650405,1110473209,1043299364
110,34900397,122544852,277384273,1083589890,1023839664
111,36764779,122781615,279705091,1096270272,1028480567
