timeIn10min,rr,wr,rt,wt,ut
0,6211099,2829850,53178941,32561820,28035995
1,6692279,2268965,58412155,23330386,20547984
2,6070059,3187985,54363367,36380801,31574151
3,3091636,1575390,22846366,11708402,10775733
4,1280236,678668,9318900,2028154,2017101
5,1232483,657146,9048404,1905847,1897969
6,1306820,693649,8946626,2339748,2156090
7,1168739,652520,8537273,1922783,1912720
8,1158316,631873,8592275,1868551,1845397
9,1168572,650557,8568989,1916380,1888703
10,1241325,641911,7808183,1905289,1877712
11,1148198,678714,5798842,2033757,2002469
12,2059313,860387,21760438,4861587,2525174
13,2111880,717785,23425615,2667230,2248836
14,2111810,705494,23716499,2349976,2248380
15,2041607,705830,22291219,2347883,2312512
16,2024660,669046,21503141,1926832,1890699
17,2097396,688263,22852132,1991421,1922526
18,1998880,658372,20693680,1907387,1835879
19,2047041,675818,21483821,1979065,1908945
20,2044172,668071,22226336,2011226,1979211
21,1933188,687184,20594650,2069567,2043802
22,1844550,709730,17311953,2107153,2079912
23,1891714,754434,17750432,2536001,2510730
24,1876405,805153,17513739,3147670,2714011
25,1744552,694004,17306229,2283253,2253677
26,1831324,714196,17631046,2279085,2250933
27,1669041,720080,16788104,2436149,2407362
28,1765947,666795,17279111,2044740,2011247
29,1639905,659047,16989810,2001928,1975584
30,1827814,774816,16716743,2265607,2199862
31,1814667,738827,17414177,2394929,2298498
32,1992494,706697,17876381,2296255,2177985
33,1616095,679244,16364951,2267574,1988810
34,1783525,691038,17257631,2134131,2015996
35,1696520,710996,17196060,2408664,2226270
36,1342179,680846,10155216,2258497,2027426
37,917138,817770,3331888,2739532,2538142
38,1024351,818224,3249899,2359218,2190423
39,869942,750111,2968289,2240915,2170238
40,1068293,853218,3679172,2661713,2637132
41,1005916,738475,3049868,2169837,2136441
42,1111067,848334,3646425,2642030,2476792
43,1061506,890546,3260593,2501702,2401735
44,1197187,897996,3891587,2697567,2411361
45,1144416,895390,4810033,3748578,2675529
46,1177912,890767,5578987,4481331,2582749
47,1288626,947406,6552670,5188646,2812879
48,1624110,986922,7874007,5625797,2988605
49,1800565,1010084,7459080,5787698,2980881
50,1608077,957495,6339171,5307663,2843214
51,1713132,891317,6759098,4626939,2667196
52,1460691,922089,6269465,5097053,3285247
53,1202317,860499,5942938,4240399,2261858
54,1163741,784084,5125174,3384698,2115155
55,1252986,813748,5683882,3687520,2524205
56,1347091,836020,5813573,4333751,2988917
57,1517835,811738,6305406,3698781,2787417
58,1350932,831029,5452664,4263961,3168220
59,1375463,903741,5982948,4338655,3586329
60,1422646,821505,8961209,3601418,3387303
61,1255977,813333,5087795,3561915,2422002
62,1118287,852467,6662768,4966467,2089349
63,955361,750137,3874988,2851249,2029736
64,961848,692216,3961708,2077282,2026896
65,1193754,781486,4191311,3251587,2844489
66,1242957,842320,5345295,4139629,3227455
67,1110317,878445,6341104,5137778,5014902
68,1028348,731652,4639551,2601787,2496001
69,986383,742406,3815494,2410211,2195641
70,964445,706306,3859568,2151053,2054514
71,999086,754049,3965614,2391867,2108949
72,1158012,807291,4392870,2624580,2249460
73,976553,788470,3731336,3014111,2339050
74,891018,765119,3191952,2799508,2111328
75,908216,711405,3132226,2378269,2010303
76,972387,714683,4506757,2539105,2456891
77,964496,726459,3952737,2328165,2137131
78,1030599,683572,3766922,2053542,1966339
79,945219,747950,3462446,2640099,2262607
80,1009500,725079,3954291,2334171,2184141
81,1000782,719857,3400141,2202202,2017553
82,1005153,700028,3270014,2202689,1983071
83,1036829,790033,4377599,3271258,2649155
84,1156837,775167,4453368,2930490,2159107
85,1011673,829538,3985991,3565733,2392733
86,968228,722192,3555513,2483116,2303316
87,1032758,772381,4158541,2598980,2431200
88,1064354,781085,3834449,2892154,2369009
89,1282105,822473,5547809,3480348,2630489
90,1068750,699344,3606871,2452816,2147691
91,903266,689298,3551080,2641210,2001000
92,1031110,714885,4399312,3171242,2407025
93,1009519,748468,4002121,2798978,2443690
94,1039396,810340,4192461,3456864,2401006
95,1109711,851208,5352066,3824524,2733584
96,1257826,794532,5199770,3079618,2135577
97,1007222,787906,4234259,3410039,2482533
98,950171,756717,3916583,2989067,2115105
99,935517,755656,3977386,3101641,2038964
100,898212,709804,3801580,2864882,1990095
101,983976,763125,4025379,3210990,2200072
102,3214771,961895,25296958,3844072,2741087
103,3696113,994024,30694271,4335807,2948423
104,4223911,916786,40098863,3828902,2688461
105,4190711,941713,43838972,4624800,3143289
106,4595841,1074175,47019523,4095082,3075632
107,4757913,1196640,46631630,4870966,3947822
108,4365437,994227,37774601,4678882,3467582
109,3210081,959370,28252036,4300360,3272261
110,2811172,917159,24525983,4088393,3073511
111,2794597,909522,23126924,3742162,2762500
112,2525610,866423,21173325,3790950,2824697
113,2162416,760391,13949109,2715318,2444747
114,4052377,907083,36864717,3168609,3058441
115,4209890,966788,41740038,2998550,2930618
