timeIn10min,rr,wr,rt,wt,ut
0,80073586,153932490,693375925,1515251821,1341895891
1,72915214,154105237,601853202,1494481311,1327645163
2,71812476,150423892,603752475,1486984884,1323273206
3,69131891,147220369,571141603,1438549957,1277612981
4,68360309,145466961,564596611,1405141606,1249793114
5,69424918,144021759,552725313,1431485550,1275506248
6,75848193,150074419,611935582,1484880933,1320391205
7,80188488,150294034,597232932,1466219082,1304562954
8,76977039,147525211,566616132,1453170174,1294268882
9,76993801,145898177,551696137,1443112983,1285483592
10,75311787,144535341,520338819,1408770440,1252740705
11,66328341,142387959,516665947,1416271314,1264181325
12,71941991,150699382,851608118,1578801011,1409948694
13,87770382,148887513,755428586,1465442700,1306220873
14,67439727,146258147,513530284,1433425027,1279951320
15,60295283,145661045,452720842,1531738592,1372736822
16,57051034,142933292,461920989,1457966482,1304044355
17,55029233,139885976,440138459,1381913543,1233502893
18,63011402,147617912,511523782,1472656148,1313556026
19,63705292,146885200,516855035,1445057833,1290340817
20,64179428,145566116,520394150,1452586241,1297227142
21,59749771,145553770,461477697,1445243537,1290448179
22,58518419,143757208,450453364,1414257765,1261758787
23,60207545,142868473,489950624,1486927566,1331707741
24,64802208,151856095,531955396,1505953659,1342814347
25,64354106,153032344,499767478,1467846951,1307386811
26,71716371,151678980,508712249,1559267432,1392956018
27,54874175,136871857,443065035,1397882951,1247287884
28,58630469,148183728,445925204,1446746333,1289287763
29,57555770,146822900,444098738,1431414955,1275984461
30,62839433,155258992,487771025,1495134448,1330920081
31,63942559,157304650,485025608,1502859218,1339976700
32,61947605,153587406,478260115,1495730290,1334613572
33,59813909,154010867,460481044,1510478951,1348403647
34,56006330,152009264,428954810,1461364745,1302323618
35,58312597,149244992,453678230,1448710389,1292306943
36,65179401,161924086,492135965,1570137832,1399722046
37,67568854,165748978,500210646,1542928694,1375490675
38,66359818,161983613,512717083,1539424421,1373065814
39,63385849,161443574,466065551,1561003157,1394889738
40,64583236,159441773,490497319,1504389609,1341032453
41,63851408,158682896,499435256,1501981770,1339144805
42,68682536,167581414,511883598,1574340880,1403493898
43,72983013,172446833,517215094,1560402074,1390367252
44,71547655,167966154,528174747,1551623212,1382143155
45,67062105,166422743,524524131,1541548009,1373765015
46,65747955,165961680,522726687,1526460844,1357918319
47,66040290,162113788,530940868,1536644874,1370572732
48,74353503,173656670,567384035,1655756434,1480650787
49,77128570,178876725,559465582,1622548241,1449183186
50,75286479,173495556,564888896,1598360373,1426594408
51,69425605,172744602,549937346,1600972472,1428880500
