log value type
783 1.624505 1 %
783 1 5 %
783 1 10 %
783 1 20 %
404 1 1 %
404 1.515717 5 %
404 1.319508 10 %
404 0.933033 20 %
209 0.466516 1 %
209 0.466516 5 %
209 0.466516 10 %
209 0.466516 20 %
363 0.435275 1 %
363 0.287175 5 %
363 0.287175 10 %
363 0.287175 20 %
124 2.297397 1 %
124 1.414214 5 %
124 1.231144 10 %
124 1.148698 20 %
219 0.047366 1 %
219 0.870551 5 %
219 0.933033 10 %
219 0.933033 20 %
631 2.297397 1 %
631 1.624505 5 %
631 1.319508 10 %
631 1.071773 20 %
269 0.870551 1 %
269 1.231144 5 %
269 1.624505 10 %
269 1.624505 20 %
100 0.933033 1 %
100 0.707107 5 %
100 0.707107 10 %
100 0.707107 20 %
726 0.041235 1 %
726 0.041235 5 %
726 0.041235 10 %
726 0.041235 20 %
126 0.133972 1 %
126 6.964405 5 %
126 6.498019 10 %
126 5.656854 20 %
205 0.088388 1 %
205 3.24901 5 %
205 2.462289 10 %
205 1.866066 20 %
310 0.143587 1 %
310 0.870551 5 %
310 0.870551 10 %
310 0.812252 20 %
354 0.757858 1 %
354 2.143547 5 %
354 2 10 %
354 1.515717 20 %
740 3.482202 1 %
740 3.031433 5 %
740 3.031433 10 %
740 3.031433 20 %
138 1.414214 1 %
138 1.414214 5 %
138 1.414214 10 %
138 0.574349 20 %
206 1.515717 1 %
206 2 5 %
206 1.624505 10 %
206 1.319508 20 %
808 0.933033 1 %
808 0.757858 5 %
808 0.707107 10 %
808 0.659754 20 %
32 11.313708 1 %
32 5.656854 5 %
32 3.24901 10 %
32 2.143547 20 %
68 0.058315 1 %
68 1.071773 5 %
68 1.231144 10 %
68 2.828427 20 %
728 0.03125 1 %
728 0.03125 5 %
728 0.03125 10 %
728 0.03125 20 %
483 0.066986 1 %
483 1.148698 5 %
483 1.231144 10 %
483 0.933033 20 %
262 1.515717 1 %
262 1.231144 5 %
262 6.062866 10 %
262 4.924578 20 %
733 1.741101 1 %
733 0.757858 5 %
733 0.757858 10 %
733 0.707107 20 %
445 0.378929 1 %
445 1.414214 5 %
445 1.148698 10 %
445 0.870551 20 %
361 0.044194 1 %
361 2.143547 5 %
361 2.639016 10 %
361 1.866066 20 %
264 0.088388 1 %
264 2.297397 5 %
264 3.031433 10 %
264 2.639016 20 %
99 0.5 1 %
99 0.287175 5 %
99 0.267943 10 %
99 0.267943 20 %
212 0.5 1 %
212 0.203063 5 %
212 0.189465 10 %
212 0.217638 20 %
175 0.707107 1 %
175 0.535887 5 %
175 0.574349 10 %
175 0.574349 20 %
737 0.03125 1 %
737 0.03125 5 %
737 0.03125 10 %
737 0.03125 20 %
348 6.062866 1 %
348 1.866066 5 %
348 1.319508 10 %
348 1.071773 20 %
714 0.535887 1 %
714 0.574349 5 %
714 0.615572 10 %
714 0.757858 20 %
227 0.870551 1 %
227 1.071773 5 %
227 1 10 %
227 0.933033 20 %
242 0.088388 1 %
242 1.071773 5 %
242 1.414214 10 %
242 1 20 %
276 4.594793 1 %
276 5.278032 5 %
276 2.462289 10 %
276 2.143547 20 %
177 7.464264 1 %
177 4.287094 5 %
177 3.24901 10 %
177 2.828427 20 %
466 4 1 %
466 1.866066 5 %
466 1.515717 10 %
466 1.319508 20 %
316 0.287175 1 %
316 0.287175 5 %
316 0.287175 10 %
316 0.287175 20 %
12 1.515717 1 %
12 0.217638 5 %
12 0.217638 10 %
12 1.148698 20 %
93 0.659754 1 %
93 0.757858 5 %
93 0.757858 10 %
93 0.757858 20 %
197 0.03125 1 %
197 2 5 %
197 1.624505 10 %
197 1.319508 20 %
717 0.082469 1 %
717 0.088388 5 %
717 0.143587 10 %
717 0.125 20 %
256 6.062866 1 %
256 1.866066 5 %
256 1.624505 10 %
256 1.319508 20 %
293 5.278032 1 %
293 2.297397 5 %
293 1.866066 10 %
293 1.624505 20 %
753 1 1 %
753 1 5 %
753 0.933033 10 %
753 0.757858 20 %
207 1.414214 1 %
207 1.319508 5 %
207 1.414214 10 %
207 1.231144 20 %
220 0.353553 1 %
220 0.329877 5 %
220 0.329877 10 %
220 0.329877 20 %
623 1.414214 1 %
623 1.231144 5 %
623 0.870551 10 %
623 0.870551 20 %
752 1.148698 1 %
752 1.148698 5 %
752 1.148698 10 %
752 1.148698 20 %
228 3.24901 1 %
228 2.143547 5 %
228 1.741101 10 %
228 1.515717 20 %
374 1.414214 1 %
374 1.231144 5 %
374 0.933033 10 %
374 0.757858 20 %
754 0.933033 1 %
754 0.406126 5 %
754 0.406126 10 %
754 0.406126 20 %
150 0.812252 1 %
150 0.707107 5 %
150 0.707107 10 %
150 0.659754 20 %
260 0.03125 1 %
260 1.319508 5 %
260 1.319508 10 %
260 1.319508 20 %
257 0.101532 1 %
257 2.143547 5 %
257 0.757858 10 %
257 0.659754 20 %
96 0.378929 1 %
96 0.812252 5 %
96 1.148698 10 %
96 1.148698 20 %
223 1.319508 1 %
223 0.5 5 %
223 0.466516 10 %
223 0.466516 20 %
23 0.03125 1 %
23 0.933033 5 %
23 3.24901 10 %
23 2.828427 20 %
202 0.535887 1 %
202 0.574349 5 %
202 0.535887 10 %
202 0.535887 20 %
14 3.732132 1 %
14 1.624505 5 %
14 0.812252 10 %
14 0.707107 20 %
117 1.515717 1 %
117 0.574349 5 %
117 0.535887 10 %
117 0.535887 20 %
194 0.707107 1 %
194 0.03125 5 %
194 0.03125 10 %
194 0.03125 20 %
226 0.466516 1 %
226 2 5 %
226 1.231144 10 %
226 1.319508 20 %
424 0.267943 1 %
424 1 5 %
424 1 10 %
424 1 20 %
748 1.866066 1 %
748 1.414214 5 %
748 1.231144 10 %
748 1.071773 20 %
7 0.870551 1 %
7 3.24901 5 %
7 3.031433 10 %
7 2.297397 20 %
40 0.870551 1 %
40 3.482202 5 %
40 3.031433 10 %
40 2.143547 20 %
244 0.054409 1 %
244 0.812252 5 %
244 0.812252 10 %
244 1 20 %
455 5.656854 1 %
455 1.866066 5 %
455 1.231144 10 %
455 0.812252 20 %
467 1.414214 1 %
467 1.624505 5 %
467 1.231144 10 %
467 0.707107 20 %
26 0.5 1 %
26 0.406126 5 %
26 0.406126 10 %
26 0.378929 20 %
727 2.143547 1 %
727 1.866066 5 %
727 1.741101 10 %
727 1.624505 20 %
0 1.624505 1 %
0 1.414214 5 %
0 1.414214 10 %
0 1.414214 20 %
283 0.870551 1 %
283 1.414214 5 %
283 1.319508 10 %
283 1 20 %
391 5.278032 1 %
391 3.482202 5 %
391 2.828427 10 %
391 2.297397 20 %
468 1.866066 1 %
468 1.624505 5 %
468 1.624505 10 %
468 1.624505 20 %
724 0.535887 1 %
724 0.03125 5 %
724 0.03125 10 %
724 0.03125 20 %
679 0.143587 1 %
679 4.287094 5 %
679 4 10 %
679 3.732132 20 %
133 1.231144 1 %
133 1.319508 5 %
133 1.319508 10 %
133 0.535887 20 %
97 1.319508 1 %
97 1.414214 5 %
97 1.319508 10 %
97 0.615572 20 %
232 1.319508 1 %
232 1.414214 5 %
232 1.414214 10 %
232 0.574349 20 %
176 1.414214 1 %
176 1.414214 5 %
176 1.414214 10 %
176 0.659754 20 %
34 1.414214 1 %
34 1.515717 5 %
34 1.414214 10 %
34 0.574349 20 %
208 1.319508 1 %
208 1.414214 5 %
208 1.414214 10 %
208 0.574349 20 %
198 1.319508 1 %
198 1.414214 5 %
198 1.414214 10 %
198 0.574349 20 %
54 6.964405 1 %
54 3.482202 5 %
54 2.828427 10 %
54 2.462289 20 %
29 0.707107 1 %
29 0.615572 5 %
29 0.615572 10 %
29 0.5 20 %
211 0.535887 1 %
211 0.933033 5 %
211 1 10 %
211 0.870551 20 %
580 0.378929 1 %
580 0.659754 5 %
580 0.870551 10 %
580 0.933033 20 %
697 0.133972 1 %
697 1.866066 5 %
697 1.624505 10 %
697 1.148698 20 %
4 0.03125 1 %
4 0.03125 5 %
4 0.03125 10 %
4 0.03125 20 %
160 0.082469 1 %
160 1.231144 5 %
160 1.319508 10 %
160 0.933033 20 %
440 1.741101 1 %
440 1.071773 5 %
