log value type
783 1.624505 1
783 1 5
783 0.757858 10
783 1.148698 20
404 1 1
404 1.866066 5
404 1.231144 10
404 0.812252 20
209 0.466516 1
209 0.466516 5
209 0.466516 10
209 0.466516 20
363 0.435275 1
363 0.287175 5
363 0.287175 10
363 0.287175 20
124 2.297397 1
124 1.319508 5
124 1.148698 10
124 1.071773 20
219 0.047366 1
219 0.933033 5
219 1.414214 10
219 0.933033 20
631 2.297397 1
631 1.515717 5
631 1.148698 10
631 1 20
269 0.870551 1
269 1.319508 5
269 1.866066 10
269 1.624505 20
100 0.933033 1
100 0.615572 5
100 0.707107 10
100 0.933033 20
726 0.041235 1
726 0.041235 5
726 0.041235 10
726 0.041235 20
126 0.133972 1
126 6.964405 5
126 6.062866 10
126 5.278032 20
205 0.088388 1
205 3.482202 5
205 2 10
205 1.624505 20
310 0.143587 1
310 0.933033 5
310 0.812252 10
310 0.615572 20
354 0.757858 1
354 2.462289 5
354 1.866066 10
354 1.148698 20
740 3.482202 1
740 3.031433 5
740 3.031433 10
740 3.031433 20
138 1.414214 1
138 1.414214 5
138 1.231144 10
138 0.466516 20
206 1.515717 1
206 2 5
206 1.414214 10
206 1.071773 20
808 0.933033 1
808 0.707107 5
808 0.535887 10
808 0.287175 20
32 11.313708 1
32 5.278032 5
32 2.297397 10
32 1.866066 20
68 0.058315 1
68 1.148698 5
68 6.964405 10
68 3.24901 20
728 0.03125 1
728 0.03125 5
728 0.03125 10
728 0.03125 20
483 0.066986 1
483 1.414214 5
483 1.515717 10
483 0.757858 20
262 1.515717 1
262 1.148698 5
262 9.849155 10
262 4.594793 20
733 1.741101 1
733 0.757858 5
733 0.707107 10
733 0.659754 20
445 0.378929 1
445 1.515717 5
445 1 10
445 0.5 20
361 0.044194 1
361 2.828427 5
361 2.639016 10
361 1.319508 20
264 0.088388 1
264 3.031433 5
264 3.031433 10
264 2.639016 20
99 0.5 1
99 0.25 5
99 0.267943 10
99 0.25 20
212 0.5 1
212 0.189465 5
212 0.189465 10
212 0.378929 20
175 0.707107 1
175 0.535887 5
175 0.933033 10
175 0.03125 20
737 0.03125 1
737 0.03125 5
737 0.03125 10
737 0.03125 20
348 6.062866 1
348 1.741101 5
348 1.148698 10
348 0.870551 20
714 0.535887 1
714 0.574349 5
714 0.615572 10
714 0.870551 20
227 0.870551 1
227 1.071773 5
227 1 10
227 0.933033 20
242 0.088388 1
242 1.515717 5
242 1.866066 10
242 0.812252 20
276 4.594793 1
276 5.278032 5
276 2.143547 10
276 1.866066 20
177 7.464264 1
177 4 5
177 3.031433 10
177 2.639016 20
466 4 1
466 1.741101 5
466 1.231144 10
466 1.231144 20
316 0.287175 1
316 0.307786 5
316 0.267943 10
316 0.287175 20
12 1.515717 1
12 0.217638 5
12 0.217638 10
12 1.148698 20
93 0.659754 1
93 1.231144 5
93 0.03125 10
93 0.03125 20
197 0.03125 1
197 2.143547 5
197 1.515717 10
197 1.319508 20
717 0.082469 1
717 0.088388 5
717 0.143587 10
717 0.116629 20
256 6.062866 1
256 1.624505 5
256 1.414214 10
256 1.148698 20
293 5.278032 1
293 2.143547 5
293 1.515717 10
293 1.414214 20
753 1 1
753 1 5
753 0.933033 10
753 0.5 20
207 1.414214 1
207 1.231144 5
207 1.515717 10
207 1.148698 20
220 0.353553 1
220 0.329877 5
220 0.233258 10
220 0.435275 20
623 1.414214 1
623 1.231144 5
623 0.870551 10
623 0.870551 20
752 1.148698 1
752 1.071773 5
752 0.03125 10
752 0.03125 20
228 3.24901 1
228 2.143547 5
228 1.515717 10
228 1.414214 20
374 1.414214 1
374 0.933033 5
374 0.870551 10
374 0.378929 20
754 0.933033 1
754 0.406126 5
754 0.406126 10
754 0.406126 20
150 0.812252 1
150 0.707107 5
150 0.707107 10
150 0.574349 20
260 0.03125 1
260 1.414214 5
260 0.03125 10
260 0.03125 20
257 0.101532 1
257 2.297397 5
257 0.03125 10
257 0.659754 20
96 0.378929 1
96 1 5
96 1.231144 10
96 1.148698 20
223 1.319508 1
223 0.5 5
223 0.466516 10
223 0.435275 20
23 0.03125 1
23 1.741101 5
23 3.482202 10
23 2.639016 20
202 0.535887 1
202 0.574349 5
202 0.5 10
202 0.5 20
14 3.732132 1
14 1.624505 5
14 0.757858 10
14 0.615572 20
117 1.515717 1
117 0.574349 5
117 0.535887 10
117 0.574349 20
194 0.707107 1
194 0.03125 5
194 0.03125 10
194 0.03125 20
226 0.466516 1
226 3.031433 5
226 1.071773 10
226 1.414214 20
424 0.267943 1
424 1 5
424 1.414214 10
424 0.03125 20
748 1.866066 1
748 1.414214 5
748 1.071773 10
748 0.933033 20
7 0.870551 1
7 3.482202 5
7 2.297397 10
7 1.866066 20
40 0.870551 1
40 3.482202 5
40 2.462289 10
40 1.866066 20
244 0.054409 1
244 1.071773 5
244 0.812252 10
244 1 20
455 5.656854 1
455 1.515717 5
455 1.071773 10
455 0.406126 20
467 1.414214 1
467 1.624505 5
467 1 10
467 0.466516 20
26 0.5 1
26 0.406126 5
26 0.378929 10
26 0.378929 20
727 2.143547 1
727 1.741101 5
727 1.624505 10
727 1.414214 20
0 1.624505 1
0 1.319508 5
0 0.03125 10
0 0.03125 20
283 0.870551 1
283 1.515717 5
283 1.319508 10
283 0.870551 20
391 5.278032 1
391 3.24901 5
391 2.297397 10
391 2 20
468 1.866066 1
468 1.624505 5
468 1.624505 10
468 1.319508 20
724 0.535887 1
724 0.03125 5
724 0.03125 10
724 0.03125 20
679 0.143587 1
679 4.287094 5
679 4 10
679 3.482202 20
133 1.231144 1
133 1.319508 5
133 1.231144 10
133 0.406126 20
97 1.319508 1
97 1.414214 5
97 0.659754 10
97 0.574349 20
232 1.319508 1
232 1.414214 5
232 1.414214 10
232 0.435275 20
176 1.414214 1
176 1.414214 5
176 1.319508 10
176 0.535887 20
34 1.414214 1
34 1.515717 5
34 1.231144 10
34 0.466516 20
208 1.319508 1
208 1.414214 5
208 1.319508 10
208 0.435275 20
198 1.319508 1
198 1.515717 5
198 1.231144 10
198 0.435275 20
54 6.964405 1
54 3.24901 5
54 2.639016 10
54 2.297397 20
29 0.707107 1
29 0.615572 5
29 0.615572 10
29 0.5 20
211 0.535887 1
211 1 5
211 1 10
211 0.812252 20
580 0.378929 1
580 0.757858 5
580 0.933033 10
580 1 20
697 0.133972 1
697 2 5
697 1.148698 10
697 0.094732 20
4 0.03125 1
4 0.03125 5
4 0.03125 10
4 0.03125 20
160 0.082469 1
160 1.515717 5
160 1.624505 10
160 0.812252 20
440 1.741101 1
440 1.071773 5
440 0.812252 10
440 0.615572 20
654 0.287175 1
654 1.319508 5
654 0.03125 10
654 0.03125 20
122 1.414214 1
122 0.659754 5
122 0.615572 10
122 0.574349 20
178 2 1
178 2 5
178 2 10
178 1.866066 20
144 3.732132 1
144 3.482202 5
144 3.031433 10
144 2.297397 20
52 1.866066 1
52 1.866066 5
52 1.866066 10
52 1.741101 20
107 1.866066 1
107 2 5
107 2.462289 10
107 2.143547 20
141 1.741101 1
141 1.624505 5
141 1.741101 10
141 2 20
58 1.624505 1
58 1.741101 5
58 1.741101 10
58 1.866066 20
225 2.143547 1
225 2.462289 5
225 2.143547 10
225 2 20
780 2.639016 1
780 0.466516 5
780 0.5 10
780 1.319508 20
37 1.071773 1
37 0.933033 5
37 0.812252 10
37 0.707107 20
701 1 1
701 1 5
701 0.5 10
701 0.757858 20
41 3.24901 1
41 0.707107 5
41 0.307786 10
41 0.307786 20
272 0.047366 1
272 1 5
272 0.707107 10
272 0.812252 20
651 0.044194 1
651 0.870551 5
651 0.812252 10
651 0.870551 20
435 0.054409 1
435 0.933033 5
435 3.031433 10
435 1 20
771 1.071773 1
771 1 5
771 0.615572 10
771 0.535887 20
460 0.267943 1
460 2.639016 5
460 2.462289 10
460 1.231144 20
261 0.329877 1
261 0.03125 5
261 0.03125 10
261 0.03125 20
427 1.414214 1
427 1.231144 5
427 1.414214 10
427 1.231144 20
38 0.038473 1
38 6.498019 5
38 7.464264 10
38 7.464264 20
280 1.231144 1
280 1.866066 5
