log value type
0 4.03061 1
0 0.322325 2
0 0.0301788 3
0 0.0330833 4
4 23.4769 1
4 63.886 2
4 59.4337 3
4 67.5873 4
7 4.87374 1
7 4.39019 2
7 3.14412 3
7 2.25969 4
10 2.81505 1
10 0.132315 2
10 0.113257 3
10 0.129089 4
11 3.78183 1
11 0.846577 2
11 0.588754 3
11 0.517858 4
12 4.32116 1
12 0.640039 2
12 1.00901 3
12 0.888866 4
13 2.60829 1
13 0.50213 2
13 0.327344 3
13 0.14659 4
14 5.44522 1
14 2.11749 2
14 0.821818 3
14 0.702845 4
15 3.90668 1
15 0.912404 2
15 0.665748 3
15 0.607357 4
16 2.59033 1
16 0.534958 2
16 0.253061 3
16 0.192577 4
18 2.52743 1
18 0.48824 2
18 0.24598 3
18 0.226043 4
20 2.67711 1
20 0.567157 2
20 0.250762 3
20 0.249944 4
22 2.54775 1
22 0.521841 2
22 0.232167 3
22 0.230849 4
23 2.99269 1
23 16.9212 2
23 3.87752 3
23 3.35309 4
25 3.7746 1
25 0.849315 2
25 0.609587 3
25 0.502243 4
26 2.47723 1
26 0.434403 2
26 0.406252 3
26 0.391791 4
27 2.53629 1
27 0.370988 2
27 0.276652 3
27 0.238201 4
28 2.5154 1
28 0.523592 2
28 0.148627 3
28 0.240291 4
29 0.975687 1
29 0.595162 2
29 0.557172 3
29 0.463044 4
32 21.3812 1
32 7.22661 2
32 2.71986 3
32 2.09171 4
34 4.02845 1
34 1.69985 2
34 1.35284 3
34 0.602944 4
35 2.60129 1
35 0.524141 2
35 0.245636 3
35 0.264329 4
36 2.60667 1
36 0.531049 2
36 0.264556 3
36 0.217354 4
37 4.17036 1
37 1.04601 2
37 0.976231 3
37 0.823946 4
38 8.24868 1
38 7.00933 2
38 7.66282 3
38 7.55515 4
39 2.45354 1
39 0.472006 2
39 0.21697 3
39 0.276327 4
40 4.81432 1
40 4.44153 2
40 3.1783 3
40 2.19099 4
41 5.75357 1
41 0.904255 2
41 0.28276 3
41 0.36299 4
43 2.31766 1
43 0.418923 2
43 0.208722 3
43 0.224552 4
45 4.35412 1
45 0.413518 2
45 0.440245 3
45 0.829014 4
47 2.48617 1
47 0.40665 2
47 0.277845 3
47 0.242631 4
52 3.18837 1
52 1.9803 2
52 2.03223 3
52 1.90655 4
54 8.71609 1
54 5.18681 2
54 2.76615 3
54 2.34915 4
58 3.14693 1
58 2.05562 2
58 2.18762 3
58 2.45946 4
59 2.61761 1
59 0.475379 2
59 0.334541 3
59 0.247767 4
61 2.51659 1
61 0.490444 2
61 0.136447 3
61 0.290058 4
67 2.64229 1
67 0.525149 2
67 0.238094 3
67 0.23101 4
68 2.66891 1
68 13.8918 2
68 68.5324 3
68 15.2217 4
74 2.60454 1
74 0.540273 2
74 0.326805 3
74 0.252058 4
79 12.2917 1
79 6.45887 2
79 4.72021 3
79 3.59245 4
93 3.63163 1
93 0.543162 2
93 0.473053 3
94 2.46965 1
94 0.449121 2
94 0.324943 3
94 0.193642 4
96 2.655 1
96 5.54301 2
96 4.66678 3
96 11.6738 4
97 3.84928 1
97 1.59578 2
97 1.08676 3
97 0.629355 4
99 1.55017 1
99 0.32033 2
99 0.265902 3
99 0.317298 4
100 1.52551 1
100 1.11398 2
100 0.768282 3
100 0.350324 4
103 2.60293 1
103 0.508848 2
103 0.294881 3
103 0.212611 4
106 2.55309 1
106 0.524595 2
106 0.175482 3
106 0.276191 4
107 3.95152 1
107 2.48658 2
107 2.52687 3
107 2.62677 4
109 2.54382 1
109 0.502498 2
109 0.246838 3
109 0.235837 4
111 2.52384 1
111 0.542313 2
111 0.212266 3
111 0.219256 4
116 2.55038 1
116 0.474019 2
116 0.224334 3
116 0.224329 4
117 2.64415 1
117 0.85853 2
117 0.562449 3
117 0.582935 4
122 2.78696 1
122 1.05691 2
122 0.710756 3
122 0.673687 4
123 0.84108 1
123 11.9583 2
123 2.63718 3
123 2.3464 4
124 3.10424 1
124 2.91655 2
124 4.69079 3
124 5.39404 4
126 9.06129 1
126 7.73086 2
126 6.77623 3
126 6.04007 4
130 2.43633 1
130 0.444335 2
130 0.250691 3
130 0.233236 4
132 2.15352 1
132 1.22194 2
132 1.10966 3
132 1.02983 4
133 4.14936 1
133 1.45203 2
133 1.43359 3
133 0.544861 4
136 2.56531 1
136 0.560179 2
136 0.260456 3
136 0.284103 4
138 4.148 1
138 1.59568 2
138 1.20531 3
138 0.607777 4
141 3.47382 1
141 1.93522 2
141 2.09278 3
141 2.90559 4
144 6.13958 1
144 3.52796 2
144 3.5639 3
144 3.46766 4
145 2.5325 1
145 0.507664 2
145 0.23728 3
145 0.207261 4
148 8.99734 1
148 7.24889 2
148 7.7076 3
148 2.75746 4
150 2.91604 1
