log type pct
783 p1 0.587692
783 p2 0.335829
783 p3 0.0764787
783 p4 0
783 p5 0
783 p6 0
783 p7 0
404 p1 0.680771
404 p2 0.159732
404 p3 0.123248
404 p4 0.0362493
404 p5 0
404 p6 0
404 p7 0
209 p1 0.17781
209 p2 0.662489
209 p3 0.156641
209 p4 0.00305888
209 p5 0
209 p6 0
209 p7 0
363 p1 0.237295
363 p2 0.622365
363 p3 0.135971
363 p4 0.00436246
363 p5 6.48027e-06
363 p6 0
363 p7 0
124 p1 0.790374
124 p2 0.0392112
124 p3 0.0718887
124 p4 0.0985257
124 p5 0
124 p6 0
124 p7 0
219 p1 0.781545
219 p2 0.0520677
219 p3 0.0755385
219 p4 0.0908486
219 p5 0
219 p6 0
219 p7 0
631 p1 0.613973
631 p2 0.146459
631 p3 0.229146
631 p4 0.0104217
631 p5 0
631 p6 0
631 p7 0
269 p1 0.659618
269 p2 0.139213
269 p3 0.175072
269 p4 0.0260965
269 p5 0
269 p6 0
269 p7 0
100 p1 0.559728
100 p2 0.379542
100 p3 0.0607308
100 p4 0
100 p5 0
100 p6 0
100 p7 0
726 p1 0.126524
726 p2 0.859768
726 p3 0.0128437
726 p4 0.000856937
726 p5 7.00384e-06
726 p6 0
726 p7 0
126 p1 0.776879
126 p2 0.0306713
126 p3 0.0638522
126 p4 0.105145
126 p5 0.0234527
126 p6 0
126 p7 0
205 p1 0.658926
205 p2 0.147766
205 p3 0.11582
205 p4 0.0774876
205 p5 0
205 p6 0
205 p7 0
310 p1 0.734078
310 p2 0.190282
310 p3 0.0756394
310 p4 0
310 p5 0
310 p6 0
310 p7 0
354 p1 0.694095
354 p2 0.114005
354 p3 0.155169
354 p4 0.0367313
354 p5 0
354 p6 0
354 p7 0
740 p1 0.770051
740 p2 0.0757629
740 p3 0.0641454
740 p4 0.0900404
740 p5 0
740 p6 0
740 p7 0
138 p1 0.431365
138 p2 0.339021
138 p3 0.180666
138 p4 0.0489287
138 p5 1.82979e-05
138 p6 0
138 p7 0
206 p1 0.455848
206 p2 0.176982
206 p3 0.333678
206 p4 0.0334917
206 p5 0
206 p6 0
206 p7 0
808 p1 0.748794
808 p2 0.0996419
808 p3 0.139935
808 p4 0.0116293
808 p5 0
808 p6 0
808 p7 0
32 p1 0.684473
32 p2 0.0872129
32 p3 0.142149
32 p4 0.0817955
32 p5 0.00436968
32 p6 0
32 p7 0
68 p1 0.792758
68 p2 0.0315476
68 p3 0.0610712
68 p4 0.114623
68 p5 0
68 p6 0
68 p7 0
728 p1 0.126873
728 p2 0.719732
728 p3 0.109261
728 p4 0.0441342
728 p5 0
728 p6 0
728 p7 0
483 p1 0.771147
483 p2 0.0518668
483 p3 0.098894
483 p4 0.0780922
483 p5 0
483 p6 0
483 p7 0
262 p1 0.783905
262 p2 0.0353972
262 p3 0.0591003
262 p4 0.119935
262 p5 0.00166277
262 p6 0
262 p7 0
733 p1 0.606589
733 p2 0.235288
733 p3 0.138037
733 p4 0.0200855
733 p5 0
733 p6 0
733 p7 0
445 p1 0.570696
445 p2 0.300662
445 p3 0.121128
445 p4 0.00751382
445 p5 0
445 p6 0
445 p7 0
361 p1 0.730868
361 p2 0.0603658
361 p3 0.118077
361 p4 0.0906899
361 p5 0
361 p6 0
361 p7 0
264 p1 0.723512
264 p2 0.0869568
264 p3 0.0853116
264 p4 0.10422
264 p5 0
264 p6 0
264 p7 0
99 p1 0.283776
99 p2 0.661931
99 p3 0.0530907
99 p4 0.00120242
99 p5 0
99 p6 0
99 p7 0
212 p1 0.380474
212 p2 0.526102
212 p3 0.0934236
212 p4 0
212 p5 0
212 p6 0
212 p7 0
175 p1 0.669175
175 p2 0.148436
175 p3 0.182389
175 p4 0
175 p5 0
175 p6 0
175 p7 0
737 p1 0.781831
737 p2 0.0830239
737 p3 0.135145
737 p4 0
737 p5 0
737 p6 0
737 p7 0
348 p1 0.31038
348 p2 0.262373
348 p3 0.405001
348 p4 0.0221394
348 p5 0.000106677
348 p6 0
348 p7 0
714 p1 0.76811
714 p2 0.0491785
714 p3 0.0538719
714 p4 0.123608
714 p5 0.00523175
714 p6 0
714 p7 0
227 p1 0.378945
227 p2 0.175328
227 p3 0.408462
227 p4 0.0341488
227 p5 0.00311705
227 p6 0
227 p7 0
242 p1 0.765582
242 p2 0.0574623
242 p3 0.0896077
242 p4 0.0873483
242 p5 0
242 p6 0
242 p7 0
276 p1 0.695827
276 p2 0.0828664
276 p3 0.166866
276 p4 0.05444
276 p5 0
276 p6 0
276 p7 0
177 p1 0.700839
177 p2 0.0707273
177 p3 0.0988782
177 p4 0.109977
177 p5 0.0195786
177 p6 0
177 p7 0
466 p1 0.487353
466 p2 0.218468
466 p3 0.277377
466 p4 0.0168025
466 p5 0
466 p6 0
466 p7 0
316 p1 0.102562
316 p2 0.847714
316 p3 0.0489582
316 p4 0.000660568
316 p5 0.000105026
316 p6 0
316 p7 0
12 p1 0.68441
12 p2 0.262414
12 p3 0.0531762
12 p4 0
12 p5 0
12 p6 0
12 p7 0
93 p1 0.580936
93 p2 0.40142
93 p3 0.0176447
93 p4 0
93 p5 0
93 p6 0
93 p7 0
197 p1 0.566824
197 p2 0.314161
197 p3 0.11856
197 p4 0.000455009
197 p5 0
197 p6 0
197 p7 0
717 p1 0.725806
717 p2 0.172444
717 p3 0.10175
717 p4 0
717 p5 0
717 p6 0
717 p7 0
256 p1 0.544852
256 p2 0.0929018
256 p3 0.301796
256 p4 0.0544501
256 p5 0.00599924
256 p6 0
256 p7 0
293 p1 0.583114
293 p2 0.18033
293 p3 0.119319
293 p4 0.117238
293 p5 0
293 p6 0
293 p7 0
753 p1 0.696548
753 p2 0.175364
753 p3 0.128089
753 p4 0
753 p5 0
753 p6 0
753 p7 0
207 p1 0.652783
207 p2 0.146735
207 p3 0.152353
207 p4 0.0481291
207 p5 0
207 p6 0
207 p7 0
220 p1 0.694953
220 p2 0.119928
220 p3 0.14517
220 p4 0.039948
220 p5 0
220 p6 0
220 p7 0
623 p1 0.60496
623 p2 0.249289
623 p3 0.142332
623 p4 0.00341947
623 p5 0
623 p6 0
623 p7 0
752 p1 0.828678
752 p2 0.126767
752 p3 0.0445559
752 p4 0
752 p5 0
752 p6 0
752 p7 0
228 p1 0.727132
228 p2 0.140703
228 p3 0.106705
228 p4 0.0254605
228 p5 0
228 p6 0
228 p7 0
374 p1 0.598437
374 p2 0.279391
374 p3 0.113163
374 p4 0.0090095
374 p5 0
374 p6 0
374 p7 0
754 p1 0.362286
754 p2 0.378841
754 p3 0.258873
754 p4 0
754 p5 0
754 p6 0
754 p7 0
150 p1 0.296652
150 p2 0.320467
150 p3 0.370691
150 p4 0.0115177
150 p5 0.000672771
150 p6 0
150 p7 0
260 p1 0.595443
260 p2 0.139893
260 p3 0.264664
260 p4 0
260 p5 0
260 p6 0
260 p7 0
257 p1 0.715343
257 p2 0.177204
257 p3 0.107454
257 p4 0
257 p5 0
257 p6 0
257 p7 0
96 p1 0.809199
96 p2 0.0551015
96 p3 0.0969622
96 p4 0.038737
96 p5 0
96 p6 0
96 p7 0
223 p1 0.360726
223 p2 0.395875
223 p3 0.193155
223 p4 0.049349
223 p5 0.000894691
223 p6 0
223 p7 0
23 p1 0.750038
23 p2 0.0340006
23 p3 0.143092
23 p4 0.07287
23 p5 0
23 p6 0
23 p7 0
202 p1 0.415343
202 p2 0.125968
202 p3 0.411564
202 p4 0.0452287
202 p5 0.00189685
202 p6 0
202 p7 0
14 p1 0.445686
14 p2 0.325781
14 p3 0.209752
14 p4 0.0187802
14 p5 0
14 p6 0
14 p7 0
117 p1 0.215106
117 p2 0.599763
117 p3 0.17105
117 p4 0.0124109
117 p5 0.00167023
117 p6 0
117 p7 0
194 p1 0.820464
194 p2 0.0866867
194 p3 0.092849
194 p4 0
194 p5 0
194 p6 0
194 p7 0
226 p1 0.632753
226 p2 0.160481
226 p3 0.146686
226 p4 0.0600801
226 p5 0
226 p6 0
226 p7 0
424 p1 0.739889
424 p2 0.171781
424 p3 0.0883299
424 p4 0
424 p5 0
424 p6 0
424 p7 0
748 p1 0.349891
748 p2 0.237203
748 p3 0.379815
748 p4 0.0284447
748 p5 0.00464644
748 p6 0
748 p7 0
7 p1 0.585618
7 p2 0.196588
7 p3 0.155223
7 p4 0.0625707
7 p5 0
7 p6 0
7 p7 0
40 p1 0.593299
40 p2 0.189495
40 p3 0.159694
40 p4 0.0575125
40 p5 0
40 p6 0
40 p7 0
244 p1 0.418116
244 p2 0.552222
244 p3 0.0296618
244 p4 0
244 p5 0
244 p6 0
244 p7 0
455 p1 0.485947
455 p2 0.248679
455 p3 0.219464
455 p4 0.0456525
455 p5 0.000257115
455 p6 0
455 p7 0
467 p1 0.475049
467 p2 0.337823
467 p3 0.173611
467 p4 0.0135166
467 p5 0
467 p6 0
467 p7 0
26 p1 0.419897
26 p2 0.324733
26 p3 0.17973
26 p4 0.0744388
26 p5 0.00120149
26 p6 0
26 p7 0
727 p1 0.719741
727 p2 0.086454
727 p3 0.144955
727 p4 0.0488502
727 p5 0
727 p6 0
727 p7 0
0 p1 0.281637
0 p2 0.715647
0 p3 0.0027158
0 p4 0
0 p5 0
0 p6 0
0 p7 0
283 p1 0.725141
283 p2 0.109348
283 p3 0.126759
283 p4 0.0387525
283 p5 0
283 p6 0
283 p7 0
391 p1 0.817015
391 p2 0.0235685
391 p3 0.0555733
391 p4 0.103843
391 p5 0
391 p6 0
391 p7 0
468 p1 0.446789
468 p2 0.394405
468 p3 0.157845
468 p4 0.000961414
468 p5 0
468 p6 0
468 p7 0
724 p1 0.124988
724 p2 0.145869
724 p3 0.728559
724 p4 0.000421438
724 p5 0.000162128
724 p6 0
724 p7 0
679 p1 0.721189
679 p2 0.0562653
679 p3 0.092214
679 p4 0.109675
679 p5 0.0206567
679 p6 0
679 p7 0
133 p1 0.509201
133 p2 0.318239
133 p3 0.114495
133 p4 0.0580655
133 p5 0
133 p6 0
133 p7 0
97 p1 0.642284
97 p2 0.203432
97 p3 0.13092
97 p4 0.0233635
97 p5 0
97 p6 0
97 p7 0
232 p1 0.50004
232 p2 0.317118
232 p3 0.135907
232 p4 0.046935
232 p5 0
232 p6 0
232 p7 0
176 p1 0.416156
176 p2 0.323545
176 p3 0.230995
176 p4 0.0293039
176 p5 0
176 p6 0
176 p7 0
34 p1 0.530873
34 p2 0.272137
34 p3 0.149899
34 p4 0.0470907
34 p5 0
34 p6 0
34 p7 0
208 p1 0.473659
208 p2 0.31906
208 p3 0.165452
208 p4 0.0418294
208 p5 0
208 p6 0
208 p7 0
198 p1 0.445875
198 p2 0.350899
198 p3 0.166763
198 p4 0.0364639
198 p5 0
198 p6 0
198 p7 0
54 p1 0.671986
54 p2 0.143604
54 p3 0.0964023
54 p4 0.083069
54 p5 0.00493946
54 p6 0
54 p7 0
29 p1 0.260899
29 p2 0.234526
29 p3 0.486467
29 p4 0.0180385
29 p5 6.9626e-05
29 p6 0
29 p7 0
211 p1 0.764437
211 p2 0.067377
211 p3 0.120382
211 p4 0.0478037
211 p5 0
211 p6 0
211 p7 0
580 p1 0.662227
580 p2 0.242119
580 p3 0.095654
580 p4 0
580 p5 0
580 p6 0
580 p7 0
697 p1 0.417687
697 p2 0.510427
697 p3 0.0708646
697 p4 0.00102109
697 p5 0
697 p6 0
697 p7 0
4 p1 0.829832
4 p2 0.0323736
4 p3 0.0634934
4 p4 0.0743006
4 p5 0
4 p6 0
4 p7 0
160 p1 0.761959
160 p2 0.0591471
160 p3 0.103987
160 p4 0.0749072
160 p5 0
160 p6 0
160 p7 0
440 p1 0.59103
440 p2 0.237896
440 p3 0.171074
440 p4 0
440 p5 0
440 p6 0
440 p7 0
654 p1 0.665114
654 p2 0.276537
654 p3 0.0583481
654 p4 0
654 p5 0
654 p6 0
654 p7 0
122 p1 0.484991
122 p2 0.271559
122 p3 0.169623
122 p4 0.0717647
122 p5 0.00206208
122 p6 0
122 p7 0
178 p1 0.678821
