type pcts
1 0.99497
2 0.00078
3 0.00042
4 0.00384
1 0.87666
2 0.10616
3 0.01541
4 0.00176
1 0.68644
2 0.08074
3 0.05157
4 0.18125
1 0.45471
2 0.08271
3 0.26150
4 0.20108
1 0.59919
2 0.10113
3 0.00769
4 0.29199
1 0.93912
2 0.01194
3 0.01646
4 0.03248
1 0.38920
2 0.02656
3 0.28909
4 0.29515
1 0.55271
2 0.01340
3 0.04734
4 0.38655
1 0.44579
2 0.08791
3 0.31884
4 0.14747
1 0.80275
2 0.14450
3 0.02643
4 0.02632
1 0.44910
2 0.09958
3 0.39823
4 0.05309
1 0.64199
2 0.25054
3 0.07780
4 0.02968
1 0.86921
2 0.05658
3 0.04657
4 0.02764
1 0.44739
2 0.07456
3 0.17623
4 0.30182
1 0.45467
2 0.01557
3 0.00323
4 0.52653
1 0.55865
2 0.42567
3 0.00451
4 0.01117
1 0.82671
2 0.02979
3 0.05315
4 0.09035
1 0.77432
2 0.03626
3 0.01933
4 0.17009
1 0.96430
2 0.00469
3 0.02210
4 0.00890
1 0.00106
2 0.00516
3 0.04245
4 0.95132
1 0.75410
2 0.22276
3 0.02172
4 0.00142
1 0.55111
2 0.21165
3 0.00752
4 0.22971
1 0.83619
2 0.03772
3 0.07448
4 0.05161
1 0.65530
2 0.04764
3 0.02168
4 0.27537
1 0.60534
2 0.10527
3 0.18919
4 0.10020
1 0.73021
2 0.02534
3 0.04138
4 0.20308
1 0.93445
2 0.00088
3 0.05419
4 0.01048
1 0.86309
2 0.03170
3 0.02543
4 0.07978
1 0.21015
2 0.11799
3 0.63396
4 0.03789
1 0.66630
2 0.06425
3 0.00271
4 0.26675
1 0.59906
2 0.12929
3 0.00696
4 0.26469
1 0.59492
2 0.02138
3 0.10634
4 0.27736
1 0.39758
2 0.09731
3 0.33459
4 0.17052
1 0.47113
2 0.02579
3 0.10349
4 0.39959
1 0.83196
2 0.03174
3 0.03971
4 0.09659
1 0.81872
2 0.15840
3 0.02028
4 0.00259
1 0.93086
2 0.05910
3 0.00880
4 0.00124
1 0.94944
2 0.04171
3 0.00754
4 0.00131
1 0.83355
2 0.00100
3 0.14964
4 0.01582
1 0.58983
2 0.14457
3 0.03279
4 0.23281
1 0.77382
2 0.16210
3 0.05223
4 0.01185
1 0.33586
2 0.10017
3 0.33323
4 0.23074
1 0.72553
2 0.05668
3 0.12554
4 0.09225
1 0.63178
2 0.03732
3 0.28021
4 0.05068
1 0.93852
2 0.01684
3 0.00366
4 0.04098
1 0.70105
2 0.01587
3 0.01687
4 0.26621
1 0.45768
2 0.09561
3 0.29059
4 0.15612
1 0.42754
2 0.00890
3 0.00253
4 0.56103
1 0.99377
2 0.00232
3 0.00070
4 0.00322
1 0.68927
2 0.03739
3 0.08829
4 0.18505
1 0.93536
2 0.01248
3 0.00634
4 0.04581
1 0.73292
2 0.04824
3 0.11742
4 0.10142
1 0.86939
2 0.12173
3 0.00731
4 0.00158
1 0.95290
2 0.03638
3 0.00949
4 0.00123
1 0.68804
2 0.13838
3 0.08135
4 0.09223
1 0.16114
2 0.61989
3 0.19664
4 0.02234
1 0.55590
2 0.05381
3 0.27558
4 0.11472
1 0.54673
2 0.09478
3 0.06212
4 0.29638
1 0.23912
2 0.38566
3 0.29814
4 0.07708
1 0.63545
2 0.11793
3 0.17592
4 0.07071
1 0.76511
2 0.02726
3 0.04262
4 0.16501
1 0.67993
2 0.20982
3 0.08112
4 0.02913
1 0.55919
2 0.08340
3 0.16217
4 0.19524
1 0.97894
2 0.01363
3 0.00283
4 0.00460
1 0.40841
2 0.01346
3 0.20417
4 0.37396
1 0.97669
2 0.01034
3 0.00969
4 0.00327
1 0.99073
2 0.00192
3 0.00123
4 0.00612
1 0.99977
1 0.76094
2 0.02108
3 0.02930
4 0.18868
1 0.82701
2 0.02932
3 0.12863
4 0.01504
1 0.44106
2 0.14010
3 0.37684
4 0.04200
1 0.88479
2 0.02053
3 0.05436
4 0.04033
1 0.85072
2 0.01271
3 0.06943
4 0.06714
1 0.22546
2 0.13393
3 0.55108
4 0.08953
1 0.41371
2 0.09558
3 0.31058
4 0.18013
1 0.78795
2 0.06835
3 0.01609
4 0.12760
1 0.49724
2 0.00962
3 0.13797
4 0.35516
1 0.85671
2 0.00372
3 0.11193
4 0.02765
1 0.55364
2 0.28769
3 0.09653
4 0.06214
1 0.75988
2 0.17801
3 0.05243
4 0.00968
1 0.45719
2 0.01621
3 0.52011
4 0.00649
1 0.63009
2 0.30145
3 0.05779
4 0.01067
1 0.94588
2 0.04810
3 0.00474
4 0.00128
1 0.85578
2 0.01688
3 0.05581
4 0.07154
1 0.54391
2 0.28808
3 0.10328
4 0.06472
1 0.99000
2 0.00274
3 0.00049
4 0.00677
1 0.30278
2 0.01446
3 0.00630
4 0.67646
1 0.60908
2 0.27088
3 0.08517
4 0.03487
1 0.85680
2 0.12472
3 0.01415
4 0.00432
1 0.61894
2 0.05403
3 0.17060
4 0.15643
1 0.57744
2 0.37519
3 0.04235
4 0.00502
1 0.56279
2 0.27466
3 0.10119
4 0.06136
1 0.25025
2 0.14776
3 0.29714
4 0.30485
1 0.05512
2 0.00000
3 0.00000
4 0.94488
1 0.80059
2 0.03760
3 0.06103
4 0.10079
1 0.53304
2 0.08083
3 0.25549
4 0.13064
1 0.85935
2 0.05425
3 0.08431
4 0.00209
1 0.56552
2 0.26378
3 0.10147
4 0.06923
1 0.00107
2 0.00522
3 0.04216
4 0.95155
1 0.01170
2 0.00030
3 0.00003
4 0.98797
1 0.83819
2 0.01542
3 0.10720
4 0.03919
1 0.85597
2 0.13243
3 0.00888
4 0.00273
1 0.95036
2 0.01191
3 0.00354
4 0.03419
1 0.66720
2 0.06996
3 0.00169
4 0.26115
1 0.78655
2 0.09204
3 0.09459
4 0.02682
1 0.57934
2 0.05779
3 0.25246
4 0.11042
1 0.78005
2 0.07170
3 0.13002
4 0.01823
1 0.57292
2 0.06246
3 0.15374
4 0.21088
1 0.51919
2 0.09885
3 0.20115
4 0.18081
1 0.13096
2 0.67358
3 0.00749
4 0.18796
1 0.43439
2 0.19882
3 0.20121
4 0.16557
1 0.75765
